sentiment,text
negative,"priggish , lethargically paced parable of renewal ."
positive,"a colorful , vibrant introduction to a universal human impulse , lushly photographed and beautifully recorded ."
negative,"it just goes to show , an intelligent person isn't necessarily an admirable storyteller ."
positive,"we know the plot's a little crazy , but it held my interest from start to finish ."
negative,"richard pryor mined his personal horrors and came up with a treasure chest of material , but lawrence gives us mostly fool's gold ."
negative,the big finish is a bit like getting all excited about a chocolate eclair and then biting into it and finding the filling missing .
negative,beware the quirky brit-com . they can and will turn on a dime from oddly humorous to tediously sentimental .
positive,"so young , so smart , such talent , such a wise    ."
negative,too bland and fustily tasteful to be truly prurient .
positive,"it's this memory-as-identity obviation that gives secret life its intermittent unease , reaffirming that long-held illusions are indeed reality , and that erasing them recasts the self ."
negative,how do you spell clich ?
negative,"there's something unintentionally comic in the film's drumbeat about authenticity , given the stale plot and pornographic way the film revels in swank apartments , clothes and parties ."
negative,". . . unspeakably , unbearably dull , featuring reams of flatly delivered dialogue and a heroine who comes across as both shallow and dim-witted ."
negative,"[n]o matter how much good will the actors generate , showtime eventually folds under its own thinness ."
positive,"working from elliott's memoir , rohmer fashions the sort of delicate , articulate character- and- relationship study he's favored for decades ."
positive,a genuinely moving and wisely unsentimental drama .
negative,koepp's screenplay isn't nearly surprising or clever enough to sustain a reasonable degree of suspense on its own .
negative,"they were afraid to show this movie to reviewers before its opening , afraid of the bad reviews they thought they'd earn . they were right ."
positive,"for all the dolorous trim , secretary is a genial romance that maintains a surprisingly buoyant tone throughout , notwithstanding some of the writers' sporadic dips into pop freudianism ."
negative,the movie has very little to offer besides unintentional laughs .
negative,""" the kid stays in the picture "" is a great story , terrifically told by the man who wrote it but this cliff notes edition is a cheat ."
negative,"instead of contriving a climactic hero's death for the beloved-major- character-who-shall- remain-nameless , why not invite some genuine spontaneity into the film by having the evil aliens' laser guns actually hit something for once ?"
positive,one of the best inside-show-biz yarns ever .
positive,the actors are fantastic . they are what makes it worth the trip to the theatre .
negative,"skip this dreck , rent animal house and go back to the source ."
negative,a sluggish pace and lack of genuine narrative hem the movie in every bit as much as life hems in the spirits of these young women .
negative,"for a film about two mismatched buddies , crystal and de niro share little screen time and even less chemistry ."
negative,"the very definition of what critics have come to term an "" ambitious failure . """
negative,a manipulative feminist empowerment tale thinly posing as a serious drama about spousal abuse .
negative,this mistaken-identity picture is so film-culture referential that the final product is a ghost .
positive,its director's most substantial feature for some time .
negative,"blessed with a searing lead performance by ryan gosling ( murder by numbers ) , the movie is powerful and provocative . it's also built on a faulty premise , one it follows into melodrama and silliness ."
positive,that old adage about women being unknowable gets an exhilarating new interpretation in morvern callar .
negative,"the following things are not at all entertaining : the bad sound , the lack of climax and , worst of all , watching seinfeld ( who is also one of the film's producers ) do everything he can to look like a good guy ."
positive,"at times auto focus feels so distant you might as well be watching it through a telescope . yet in its own aloof , unreachable way it's so fascinating you won't be able to look away for a second ."
negative,the story the movie tells is of brian de palma's addiction to the junk-calorie suspense tropes that have all but ruined his career .
positive,at once a testament to the divine calling of education and a demonstration of the painstaking process of imparting knowledge .
negative,"a turgid little history lesson , humourless and dull ."
positive,"as an introduction to the man's theories and influence , derrida is all but useless ; as a portrait of the artist as an endlessly inquisitive old man , however , it's invaluable ."
positive,a rare and lightly entertaining look behind the curtain that separates comics from the people laughing in the crowd .
positive,an energetic and engaging film that never pretends to be something it isn't .
positive,the most compelling wiseman epic of recent years .
positive,"smart and fun , but far more witty than it is wise ."
negative,its save-the-planet message clashes with its crass marketing .
negative,"dodgy mixture of cutesy romance , dark satire and murder mystery ."
positive,". . . best seen as speculative history , as much an exploration of the paranoid impulse as a creative sequel to the warren report ."
negative,"it's getting harder and harder to ignore the fact that hollywood isn't laughing with us , folks . it's laughing at us ."
positive,"as the two leads , lathan and diggs are charming and have chemistry both as friends and lovers ."
negative,the movie eventually snaps under the strain of its plot contrivances and its need to reassure .
negative,"a shoddy male hip hop fantasy filled with guns , expensive cars , lots of naked women and rocawear clothing ."
positive,fantastic !
negative,"i approached the usher and said that if she had to sit through it again , she should ask for a raise ."
negative,"those who managed to avoid the deconstructionist theorizing of french philosopher jacques derrida in college can now take an 85-minute brush-up course with the documentary derrida . or , you can do something fun tonight ."
positive,"this isn't a stand up and cheer flick ; it's a sit down and ponder affair . and thanks to kline's superbly nuanced performance , that pondering is highly pleasurable ."
positive,"grenier is terrific , bringing an unforced , rapid-fire delivery to toback's heidegger- and nietzsche-referencing dialogue ."
positive,"the talents of the actors helps "" moonlight mile "" rise above its heart-on-its-sleeve writing ."
positive,"one feels the dimming of a certain ambition , but in its place a sweetness , clarity and emotional openness that recalls the classics of early italian neorealism ."
positive,"it's a fine , focused piece of work that reopens an interesting controversy and never succumbs to sensationalism ."
positive,"by and large this is mr . kilmer's movie , and it's his strongest performance since the doors ."
positive,"director claude chabrol has become the master of innuendo . it is not what you see , it is what you think you see ."
negative,"all of the elements are in place for a great film noir , but director george hickenlooper's approach to the material is too upbeat ."
negative,"an unbelievably stupid film , though occasionally fun enough to make you forget its absurdity ."
positive,a charming and funny story of clashing cultures and a clashing mother/daughter relationship .
positive,"it's an entertaining movie , and the effects , boosted to the size of a downtown hotel , will all but take you to outer space ."
negative,. . . stale and uninspired .
positive,"for those who pride themselves on sophisticated , discerning taste , this might not seem like the proper cup of tea , however it is almost guaranteed that even the stuffiest cinema goers will laugh their    off for an hour-and-a-half ."
negative,"it's coherent , well shot , and tartly acted , but it wears you down like a dinner guest showing off his doctorate ."
positive,"that jack nicholson makes this man so watchable is a tribute not only to his craft , but to his legend ."
negative,strangely comes off as a kingdom more mild than wild .
negative,"another week , another gross-out college comedy--ugh ."
positive,". . . the first 2/3 of the film are incredibly captivating and insanely funny , thanks in part to interesting cinematic devices ( cool visual backmasking ) , a solid cast , and some wickedly sick and twisted humor . . ."
negative,"being unique doesn't necessarily equate to being good , no matter how admirably the filmmakers have gone for broke ."
negative,"if you are into splatter movies , then you will probably have a reasonably good time with the salton sea ."
positive,highly engaging .
negative,"considering the harsh locations and demanding stunts , this must have been a difficult shoot , but the movie proves rough going for the audience as well ."
positive,a moving and important film .
negative,"stinks from start to finish , like a wet burlap sack of gloom ."
negative,"a film that will be best appreciated by those willing to endure its extremely languorous rhythms , waiting for happiness is ultimately thoughtful without having much dramatic impact ."
negative,"as tweedy talks about canning his stockbroker and repairing his pool , you yearn for a few airborne tv sets or nude groupies on the nod to liven things up ."
positive,"a somewhat crudely constructed but gripping , questing look at a person so racked with self-loathing , he becomes an enemy to his own race ."
positive,an affectionately goofy satire that's unafraid to throw elbows when necessary . . .
positive,an instance of an old dog not only learning but inventing a remarkable new trick .
positive,"this isn't a narrative film -- i don't know if it's possible to make a narrative film about september 11th , though i'm sure some will try -- but it's as close as anyone has dared to come ."
positive,a bittersweet drama about the limbo of grief and how truth-telling can open the door to liberation .
positive,it's not the least of afghan tragedies that this noble warlord would be consigned to the dustbin of history .
positive,"the way the roundelay of partners functions , and the interplay within partnerships and among partnerships and the general air of gator-bashing are consistently delightful ."
negative,this movie seems to have been written using mad-libs . there can be no other explanation . hilariously inept and ridiculous .
positive,you could love safe conduct ( laissez passer ) for being a subtitled french movie that is 170 minutes long . you could hate it for the same reason .
positive,"if s&m seems like a strange route to true love , maybe it is , but it's to this film's ( and its makers' ) credit that we believe that that's exactly what these two people need to find each other -- and themselves ."
positive,"rife with the rueful , wry humor springing out of yiddish culture and language ."
positive,there has been much puzzlement among critics about what the election symbolizes . i believe the message is in the messenger : the agent is a woman .
negative,"in the end , tuck everlasting falls victim to that everlasting conundrum experienced by every human who ever lived : too much to do , too little time to do it in ."
positive,"everything you loved about it in 1982 is still there , for everybody who wants to be a kid again , or show it to their own kids ."
negative,"starts out strongly before quickly losing its focus , point and purpose in a mess of mixed messages , over-blown drama and bruce willis with a scar ."
positive,"cold , nervy and memorable ."
negative,"the film flat lines when it should peak and is more missed opportunity and trifle than dark , decadent truffle ."
negative,"here the love scenes all end in someone screaming . maybe there's a metaphor here , but figuring it out wouldn't make trouble every day any better ."
positive,"a smart , sassy and exceptionally charming romantic comedy ."
positive,the film jolts the laughs from the audience--as if by cattle prod .
negative,"the setting turns out to be more interesting than any of the character dramas , which never reach satisfying conclusions ."
positive,"as satisfyingly odd and intriguing a tale as it was a century and a half ago . . . has a delightfully dour , deadpan tone and stylistic consistency ."
positive,"the people in jessica are so recognizable and true that , as in real life , we're never sure how things will work out ."
positive,what's surprising is how well it holds up in an era in which computer-generated images are the norm .
negative,to show these characters in the act and give them no feelings of remorse -- and to cut repeatedly to the flashback of the original rape -- is overkill to the highest degree .
positive,"[cuarn has] created a substantive movie out of several cliched movie structures : the road movie , the coming-of-age movie , and the teenage sex comedy ."
negative,"what we get in feardotcom is more like something from a bad clive barker movie . in other words , it's badder than bad ."
negative,marinated in clichs and mawkish dialogue .
negative,"nair stuffs the film with dancing , henna , ornamentation , and group song , but her narrative clichs and telegraphed episodes smell of old soap opera ."
negative,"this limp gender-bender-baller from a first-time director and rookie screenwriter steals wholesale from that 1982's tootsie , forgetting only to retain a single laugh ."
negative,"in the process of trimming the movie to an expeditious 84 minutes , director roger kumble seems to have dumped a whole lot of plot in favor of . . . outrageous gags ."
positive,"at its best , which occurs often , michael moore's bowling for columbine rekindles the muckraking , soul-searching spirit of the 'are we a sick society ? ' journalism of the 1960s ."
positive,reveals how important our special talents can be when put in service of of others . it also shows how deeply felt emotions can draw people together across the walls that might otherwise separate them .
negative,"this is the sort of low-grade dreck that usually goes straight to video --with a lousy script , inept direction , pathetic acting , poorly dubbed dialogue and murky cinematography , complete with visible boom mikes ."
negative,"directed by kevin bray , whose crisp framing , edgy camera work , and wholesale ineptitude with acting , tone and pace very obviously mark him as a video helmer making his feature debut ."
positive,it leaves little doubt that kidman has become one of our best actors .
negative,"much of the digitally altered footage appears jagged , as if filmed directly from a television monitor , while the extensive use of stock footage quickly becomes a tiresome clich ."
negative,obvious politics and rudimentary animation reduce the chances that the appeal of hey arnold ! the movie will reach far beyond its core demographic .
negative,this 100-minute movie only has about 25 minutes of decent material .
positive,there's something to be said for a studio-produced film that never bothers to hand viewers a suitcase full of easy answers .
negative,tennessee williams by way of oprah's book club .
positive,funny but perilously slight .
positive,"a generation x artifact , capturing a brief era of insanity in the sports arena that surely cannot last ."
positive,"a beguiling , slow-moving parable about the collision of past and present on a remote seacoast in iran ."
negative,"dull and mechanical , kinda like a very goofy museum exhibit"
positive,"a simple tale of an unlikely friendship , but thanks to the gorgeous locales and exceptional lead performances , it has considerable charm ."
positive,"light-years ahead of paint-by-number american blockbusters like pearl harbor , at least artistically ."
positive,"what really makes it special is that it pulls us into its world , gives us a hero whose suffering and triumphs we can share , surrounds him with interesting characters and sends us out of the theater feeling we've shared a great adventure ."
positive,"the most wondrous love story in years , it is a great film ."
negative,the enormous comic potential of an oafish idiot impersonating an aristocrat remains sadly unrealized .
positive,'enigma' is the kind of engaging historical drama that hollywood appears to have given up on in favor of sentimental war movies in the vein of 'we were soldiers . '
positive,"pure cinematic intoxication , a wildly inventive mixture of comedy and melodrama , tastelessness and swooning elegance ."
positive,"collateral damage is trash , but it earns extra points by acting as if it weren't ."
positive,it's as close as we'll ever come to looking through a photographer's viewfinder as he works .
negative,"[nelson's] movie about morally compromised figures leaves viewers feeling compromised , unable to find their way out of the fog and the ashes ."
positive,this is one of those rare docs that paints a grand picture of an era and makes the journey feel like a party .
negative,the film's bathos often overwhelms what could have been a more multifaceted look at this interesting time and place .
positive,"because the film deliberately lacks irony , it has a genuine dramatic impact ; it plays like a powerful 1957 drama we've somehow never seen before ."
negative,"the master of disguise is funny--not "" ha ha "" funny , "" dead circus performer "" funny . and for all the wrong reasons besides ."
negative,"schaeffer has to find some hook on which to hang his persistently useless movies , and it might as well be the resuscitation of the middle-aged character ."
negative,"an overemphatic , would-be wacky , ultimately tedious sex farce ."
positive,griffin & co . manage to be spectacularly outrageous .
negative,"the premise for this kegger comedy probably sounded brilliant four six-packs and a pitcher of margaritas in , but the film must have been written . . . in the thrall of a vicious hangover ."
negative,"it's another stale , kill-by-numbers flick , complete with blade-thin characters and terrible , pun-laden dialogue ."
negative,. . . too dull to enjoy .
positive,a wonderfully warm human drama that remains vividly in memory long after viewing
positive,reggio and glass put on an intoxicating show .
positive,"pull[s] off the rare trick of recreating not only the look of a certain era , but also the feel ."
negative,. . . has virtually no script at all . . .
negative,an awful movie that will only satisfy the most emotionally malleable of filmgoers .
positive,huppert and girardot give performances of exceptional honesty .
positive,"is red dragon worthy of a place alongside the other hannibal movies ? as hannibal would say , yes , 'it's like having an old friend for dinner' ."
positive,"divine secrets of the ya-ya sisterhood may not be exactly divine , but it's definitely -- defiantly -- ya ya , what with all of those terrific songs and spirited performances ."
negative,it gets the details of its time frame right but it completely misses its emotions .
negative,"as david letterman and the onion have proven , the worst of tragedies can be fertile sources of humor , but lawrence has only a fleeting grasp of how to develop them ."
negative,it won't be long before you'll spy i spy at a video store near you .
positive,"though it's not very well shot or composed or edited , the score is too insistent and the dialogue is frequently overwrought and crudely literal , the film shatters you in waves ."
negative,"the french director has turned out nearly 21/2 hours of unfocused , excruciatingly tedious cinema that , half an hour in , starts making water torture seem appealing ."
positive,"the film delivers what it promises : a look at the "" wild ride "" that ensues when brash young men set out to conquer the online world with laptops , cell phones and sketchy business plans ."
negative,"the problem is not that it's all derivative , because plenty of funny movies recycle old tropes . the problem is that van wilder does little that is actually funny with the material ."
negative,lazily directed by charles stone iii . . . from a leaden script by matthew cirulnick and novelist thulani davis .
positive,a marvel like none you've seen .
negative,more likely to have you scratching your head than hiding under your seat .
positive,a mildly enjoyable if toothless adaptation of a much better book .
positive,"a worthy addition to the cinematic canon , which , at last count , numbered 52 different versions ."
negative,"downright transparent is the script's endless assault of embarrassingly ham-fisted sex jokes that reek of a script rewrite designed to garner the film a "" cooler "" pg-13 rating ."
positive,this is more fascinating -- being real -- than anything seen on jerry springer .
positive,"a positively thrilling combination of ethnography and all the intrigue , betrayal , deceit and murder of a shakespearean tragedy or a juicy soap opera ."
positive,a perfectly competent and often imaginative film that lacks what little lilo & stitch had in spades -- charisma .
positive,[a] strong piece of work .
positive,"an invaluable historical document thanks to the filmmaker's extraordinary access to massoud , whose charm , cultivation and devotion to his people are readily apparent ."
negative,"twenty years later , reggio still knows how to make a point with poetic imagery , but his ability to startle has been stifled by the very prevalence of the fast-forward technology that he so stringently takes to task ."
negative,"what started out as a taut contest of wills between bacon and theron , deteriorates into a protracted and borderline silly chase sequence ."
negative,demands too much of most viewers .
negative,it all seemed wasted like deniro's once promising career and the once grand long beach boardwalk .
positive,an appealingly juvenile trifle that delivers its share of laughs and smiles .
positive,"it looks closely , insightfully at fragile , complex relationships ."
negative,. . . ( like ) channel surfing between the discovery channel and a late-night made-for-cable action movie .
positive,"frailty isn't as gory or explicit . but in its child-centered , claustrophobic context , it can be just as frightening and disturbing -- even punishing ."
negative,"the effort is sincere and the results are honest , but the film is so bleak that it's hardly watchable ."
positive,"you can watch , giggle and get an adrenaline boost without feeling like you've completely lowered your entertainment standards ."
positive,"cuaron repeatedly , perversely undercuts the joie de vivre even as he creates it , giving the movie a mournful undercurrent that places the good-time shenanigans in welcome perspective ."
positive,it is hard not to be especially grateful for freedom after a film like this .
positive,"it's a compelling and horrifying story , and the laramie project is worthwhile for reminding us that this sort of thing does , in fact , still happen in america ."
negative,the film's most improbable feat ? it didn't go straight to video .
negative,"charming , if overly complicated . . ."
negative,"[toback's] fondness for fancy split-screen , stuttering editing and pompous references to wittgenstein and kirkegaard . . . blends uneasily with the titillating material ."
positive,"if you ever wondered what it would be like to be smack in the middle of a war zone armed with nothing but a camera , this oscar-nominated documentary takes you there ."
negative,"despite terrific special effects and funnier gags , harry potter and the chamber of secrets finds a way to make j . k . rowling's marvelous series into a deadly bore ."
positive,"if villainous vampires are your cup of blood , blade 2 is definitely a cut above the rest ."
negative,"with miscast leads , banal dialogue and an absurdly overblown climax , killing me softly belongs firmly in the so-bad-it's-good camp ."
positive,the bottom line is the piece works brilliantly .
negative,why spend $9 on the same stuff you can get for a buck or so in that greasy little vidgame pit in the theater lobby ?
positive,"a splendid entertainment , young in spirit but accomplished in all aspects with the fullness of spirit and sense of ease that comes only with experience ."
positive,"birthday girl is an amusing joy ride , with some surprisingly violent moments ."
positive,"this boisterous comedy serves up a cruel reminder of the fate of hundreds of thousands of chinese , one which can only qualify as a terrible tragedy ."
positive,"human resources was a good , straightforward tale , but time out is better . it's haunting . it's like a poem ."
negative,there's no getting around the fact that this is revenge of the nerds revisited -- again .
negative,uneven performances and a spotty script add up to a biting satire that has no teeth .
negative,long on twinkly-eyed close-ups and short on shame .
positive,"one of the best , most understated performances of [jack nicholson's] career ."
positive,adam sandler ! in an art film !
positive,"this ready-made midnight movie probably won't stand the cold light of day , but under the right conditions , it's goofy ( if not entirely wholesome ) fun ."
positive,"this film seems thirsty for reflection , itself taking on adolescent qualities ."
positive,the saturation bombing of reggio's images and glass' evocative music . . . ultimately leaves viewers with the task of divining meaning .
positive,"macdowell , whose wifty southern charm has anchored lighter affairs . . . brings an absolutely riveting conviction to her role ."
positive,"the film is darkly atmospheric , with herrmann quietly suggesting the sadness and obsession beneath hearst's forced avuncular chortles ."
positive,provides an intriguing window into the imagination and hermetic analysis of todd solondz .
negative,the spalding gray equivalent of a teen gross-out comedy .
positive,this often-hilarious farce manages to generate the belly laughs of lowbrow comedy without sacrificing its high-minded appeal .
positive,[a] satisfying niblet .
negative,a fairly by-the-books blend of action and romance with sprinklings of intentional and unintentional comedy .
negative,"[garbus] discards the potential for pathological study , exhuming instead , the skewed melodrama of the circumstantial situation ."
positive,"enjoyably fast-moving , hard-hitting documentary ."
positive,sex is one of those films that aims to confuse .
positive,"this is one of mr . chabrol's subtlest works , but also one of his most uncanny ."
negative,"there's a bit of thematic meat on the bones of queen of the damned , as its origins in an anne rice novel dictate , but generally , it's a movie that emphasizes style over character and substance ."
negative,you're too conscious of the effort it takes to be this spontaneous .
positive,"where this was lazy but enjoyable , a formula comedy redeemed by its stars , that is even lazier and far less enjoyable ."
positive,"while the isle is both preposterous and thoroughly misogynistic , its vistas are incredibly beautiful to look at ."
positive,"brings to a spectacular completion one of the most complex , generous and subversive artworks of the last decade ."
negative,its one-sidedness . . . flirts with propaganda .
negative,"[t]hose same extremes prevent us from taking its message seriously , and the stepford wives mentality doesn't work in a modern context ."
positive,a comic gem with some serious sparkles .
negative,"on top of a foundering performance , [madonna's] denied her own athleticism by lighting that emphasizes every line and sag ."
positive,"challenging , intermittently engrossing and unflaggingly creative . but it's too long and too convoluted and it ends in a muddle ."
negative,"the cumulative effect of watching this 65-minute trifle is rather like being trapped while some weird relative trots out the video he took of the family vacation to stonehenge . before long , you're desperate for the evening to end ."
negative,its characters are thinner than cardboard -- or even comic-book paper .
negative,"is the time really ripe for a warmed-over james bond adventure , with a village idiot as the 007 clone ?"
positive,"vera's three actors -- moll , gil and bardem -- excel in insightful , empathetic performances ."
positive,a movie that sends you out of the theater feeling like you've actually spent time living in another community .
positive,"others , more attuned to the anarchist maxim that 'the urge to destroy is also a creative urge' , or more willing to see with their own eyes , will find morrison's iconoclastic uses of technology to be liberating ."
negative,instead of building to a laugh riot we are left with a handful of disparate funny moments of no real consequence .
positive,"ou've got to love a disney pic with as little cleavage as this one has , and a heroine as feisty and principled as jane ."
negative,"woo has as much right to make a huge action sequence as any director , but how long will filmmakers copy the "" saving private ryan "" battle scenes before realizing steven spielberg got it right the first time ?"
negative,"it will come as no surprise that the movie isn't scary . but here's the real damn : it isn't funny , either ."
positive,"you come away from his film overwhelmed , hopeful and , perhaps paradoxically , illuminated ."
negative,"despite its sincere acting , signs is just another unoriginal run of the mill sci-fi film with a flimsy ending and lots of hype ."
negative,. . . silly humbuggery . . .
negative,"if this holiday movie is supposed to be a gift , somebody unwrapped it early , took out all the good stuff , and left behind the crap ( literally ) ."
positive,"even these tales of just seven children seem at times too many , although in reality they are not enough . every child's story is what matters . this film can only point the way -- but thank goodness for this signpost ."
negative,"normally , rohmer's talky films fascinate me , but when he moves his setting to the past , and relies on a historical text , he loses the richness of characterization that makes his films so memorable ."
positive,"an unflinching , complex portrait of a modern israel that is rarely seen on-screen ."
positive,nice piece of work .
positive,"with notorious c . h . o . cho proves she has the stuff to stand tall with pryor , carlin and murphy ."
positive,"the last scenes of the film are anguished , bitter and truthful . mr . koshashvili is a director to watch ."
negative,"yes , i suppose it's lovely that cal works out his issues with his dad and comes to terms with his picture-perfect life -- but world traveler gave me no reason to care , so i didn't ."
negative,this is a movie so insecure about its capacity to excite that it churns up not one but two flagrantly fake thunderstorms to underscore the action .
positive,"what lee does so marvelously compelling is present brown as a catalyst for the struggle of black manhood in restrictive and chaotic america . . . sketchy but nevertheless gripping portrait of jim brown , a celebrated wonder in the spotlight"
positive,terrific casting and solid execution give all three stories life .
positive,"thrilling , provocative and darkly funny , this timely sci-fi mystery works on so many different levels that it not only invites , it demands repeated viewings ."
positive,"comedian , like its subjects , delivers the goods and audiences will have a fun , no-frills ride ."
negative,"it shares the first two films' loose-jointed structure , but laugh-out-loud bits are few and far between ."
negative,a film that clearly means to preach exclusively to the converted .
positive,"uma pena que , mais tarde , o prprio filme abandone o tom de pardia e passe a utilizar os mesmos clichs que havia satirizado ."
negative,"for all its alleged youthful fire , xxx is no less subservient to bond's tired formula of guns , girls and gadgets while brandishing a new action hero ."
positive,"anchored by a terrific performance by abbass , satin rouge shows that the idea of women's self-actualization knows few continental divides ."
negative,"oops , she's really done it this time . that chirpy songbird britney spears has popped up with more mindless drivel ."
negative,"a broad , melodramatic estrogen opera that's pretty toxic in its own right ."
negative,characters wander into predictably treacherous situations even though they should know better .
positive,"fine acting but there is no sense of connecting the dots , just dots ."
negative,the tuxedo miscalculates badly by forcing the star to play second fiddle to the dull effects that allow the suit to come to life .
positive,"reassuring , retro uplifter ."
positive,"the strong subject matter continues to shock throughout the film . not everyone will play the dark , challenging tune taught by the piano teacher ."
negative,two hours of junk .
negative,any enjoyment will be hinge from a personal threshold of watching sad but endearing characters do extremely unconventional things .
positive,"if it seems like a minor miracle that its septuagenarian star is young enough to be the nonagenarian filmmaker's son , more incredible still are the clear-eyed boldness and quiet irony with which actor and director take on life's urgent questions ."
negative,it's just rather leaden and dull .
negative,"the art direction is often exquisite , and the anthropomorphic animal characters are beautifully realized through clever makeup design , leaving one to hope that the eventual dvd release will offer subtitles and the original italian-language soundtrack ."
positive,"ryan gosling is , in a word , brilliant as the conflicted daniel ."
positive,"inside the film's conflict-powered plot there is a decent moral trying to get out , but it's not that , it's the tension that keeps you in your seat . affleck and jackson are good sparring partners ."
negative,a valueless kiddie paean to pro basketball underwritten by the nba .
positive,a captivating cross-cultural comedy of manners .
positive,"it represents better-than-average movie-making that doesn't demand a dumb , distracted audience ."
negative,"a baffling misfire , and possibly the weakest movie [woody allen] has made in the last twenty years ."
positive,"stands as one of the year's most intriguing movie experiences , letting its imagery speak for it while it forces you to ponder anew what a movie can be ."
negative,"waydowntown may not be an important movie , or even a good one , but it provides a nice change of mindless pace in collision with the hot oscar season currently underway ."
negative,"just one more collection of penis , breast and flatulence gags in search of a story . or a profit . or some damn thing ."
positive,"the characters are complex and quirky , but entirely believable as the remarkable ensemble cast brings them to life ."
negative,tsai may be ploughing the same furrow once too often .
positive,"romantic comedy and dogme 95 filmmaking may seem odd bedfellows , but they turn out to be delightfully compatible here ."
positive,"as a thoughtful and unflinching examination of an alternative lifestyle , sex with strangers is a success ."
positive,"even in its most tedious scenes , russian ark is mesmerizing ."
positive,"look , this is a terrific flick replete with dazzling camera-work , dancing and music ."
negative,the whole thing plays out with the drowsy heaviness of synchronized swimmer wearing a wool wetsuit .
positive,a remarkably insightful look at the backstage angst of the stand-up comic .
negative,"loosely speaking , we're in all of me territory again , and , strictly speaking , schneider is no steve martin ."
negative,"written , flatly , by david kendall and directed , barely , by there's something about mary co-writer ed decter ."
negative,"proves a lovely trifle that , unfortunately , is a little too in love with its own cuteness ."
negative,"there's something deeply creepy about never again , a new arrow in schaeffer's quiver of ineptitudes ."
positive,an intelligent romantic thriller of a very old-school kind of quality .
positive,dolgin and franco fashion a fascinating portrait of a vietnamese-born youngster who eagerly and easily assimilated as an all-american girl with a brand new name in southern tennessee .
positive,"it's mostly a pleasure to watch . and the reason for that is a self-aware , often self-mocking , intelligence ."
positive,hard to resist .
positive,"the most amazing super-sized dosage of goofball stunts any "" jackass "" fan could want ."
positive,"a heartbreakingly thoughtful minor classic , the work of a genuine and singular artist ."
negative,"a bizarre piece of work , with premise and dialogue at the level of kids' television and plot threads as morose as teen pregnancy , rape and suspected murder"
positive,pray has really done his subject justice .
negative,"no amount of burning , blasting , stabbing , and shooting can hide a weak script ."
positive,a coming-of-age film that avoids the cartoonish clichs and sneering humor of the genre as it provides a fresh view of an old type -- the uncertain girl on the brink of womanhood .
negative,"a lack of thesis makes maryam , in the end , play out with the intellectual and emotional impact of an after-school special ."
negative,"professionally speaking , it's tempting to jump ship in january to avoid ridiculous schlock like this shoddy suspense thriller ."
positive,spy kids 2 also happens to be that rarity among sequels : it actually improves upon the original hit movie .
positive,"my goodness , queen latifah has a lot to offer and she seemed to have no problem flaunting her natural gifts . she must have a very strong back ."
positive,"long after you leave justine , you'll be wondering what will happen to her and wishing her the best -- whatever that might mean ."
positive,"holofcener rejects patent solutions to dramatize life's messiness from inside out , in all its strange quirks ."
negative,it's a bad action movie because there's no rooting interest and the spectacle is grotesque and boring .
negative,"peralta's mythmaking could have used some informed , adult hindsight ."
negative,"a grating , emaciated flick ."
positive,"i'm happy to have seen it -- not as an alternate version , but as the ultimate exercise in viewing deleted scenes ."
negative,"pumpkin struts about with "" courage "" pinned to its huckster lapel while a yellow streak a mile wide decorates its back ."
negative,the title's lameness should clue you in on how bad the movie is .
positive,even better than the first one !
positive,the drama is played out with such aching beauty and truth that it brings tears to your eyes .
positive,. . . a rich and intelligent film that uses its pulpy core conceit to probe questions of attraction and interdependence and how the heart accomodates practical needs . it is an unstinting look at a collaboration between damaged people that may or may not qual
negative,"ong chooses to present ah na's life as a slight , weightless fairy tale , whose most unpleasant details seem to melt away in the face of the character's blank-faced optimism ."
positive,a slight but sweet film .
negative,"boasting some of the most poorly staged and lit action in memory , impostor is as close as you can get to an imitation movie ."
negative,'this movie sucks . '
negative,"without shakespeare's eloquent language , the update is dreary and sluggish ."
negative,"on its own , it's not very interesting . as a remake , it's a pale imitation ."
negative,"it's badly acted , blandly directed , and could have been scripted by someone who just graduated from elementary school ."
positive,you live the mood rather than savour the story .
positive,"oscar wilde's masterpiece , the importance of being earnest , may be the best play of the 19th century . it's so good that its relentless , polished wit can withstand not only inept school productions , but even oliver parker's movie adaptation ."
positive,i liked a lot of the smaller scenes .
negative,"john carlen's script is full of unhappy , two-dimensional characters who are anything but compelling ."
negative,"a working class "" us vs . them "" opera that leaves no heartstring untugged and no liberal cause unplundered ."
negative,"if you are curious to see the darker side of what's going on with young tv actors ( dawson leery did what ? ! ? ) , or see some interesting storytelling devices , you might want to check it out , but there's nothing very attractive about this movie ."
negative,it's both sitcomishly predictable and cloying in its attempts to be poignant .
negative,"not only is it hokey , manipulative and as bland as wonder bread dipped in milk , but it also does the absolute last thing we need hollywood doing to us : it preaches ."
positive,". . . less a story than an inexplicable nightmare , right down to the population's shrugging acceptance to each new horror ."
negative,"a great ending doesn't make up for a weak movie , and crazy as hell doesn't even have a great ending ."
positive,a fascinating documentary about the long and eventful spiritual journey of the guru who helped launch the new age .
negative,it's surprisingly bland despite the heavy doses of weird performances and direction .
positive,jones . . . does offer a brutal form of charisma .
negative,"the tug-of-war at the core of beijing bicycle becomes weighed down with agonizing contrivances , overheated pathos and long , wistful gazes ."
