text,sentiment,aspect
wah ! did n't get your pretty summer cover on my kindle . fun2 finally have covers in my office ,1,kindle
do you want free stuff i got a site and leave me your email and i will invite it is true because i won a psp 3000 on this site ,1,psp
Donald Trump over here talking about Prez obama needs to show his birth certificate ... FUCKING IDIOT ! ,0,obama
britney spears love you * - * britneypromote3 ,2,britney spears
you know you bad when you walk through life with NO FEAR . We living with Demons and Satan 's Angels all around us like Death Eaters -LRB- from harry potter -RRB- ,1,harry potter
"Dear santa , I would really love to get edward , ron , the twins harry potter . Black And maybe snape for christmas :-RRB- thanks ! ",1,harry potter
tastemypussy I like you ! You hate the lakers as much as I do ! goboston ! ,0,lakers
RT Matt_Muir : This is fucking wonderful . Great presentation from google containing the best online creative of the year : . ... ,2,google
get halo best game on the xbox in fact only game or do i need more games ,1,xbox
britney spears as well if you seek amy -LRB- fuck me ! -RRB- ,1,britney spears
breasts tits knockers hilary swank nude pictures . emmy-winning celeb shows off her huge boobs . impressive rack ! ,0,hilary swank
victoriajustice Go see harry potter !! Its amazing ! ,2,harry potter
atvi_bernard iasg14 i was able to get into the wii music store on gh5 on my [ASP]wii[ASP] . can you try again ? ,1,wii
"wii reviews : shaun white snowboarding : world stage : extreme sports , from ubisoft ",1,wii
Cool It -LRB- 2010 -RRB- A reasonable and intelligent alternative to al gore 's exaggerations . 7/9 ,0,al gore
photos from the gorgeous britney spears ' set of the '' 3 '' music video : ,2,britney spears
Booker Tweet : Did n't hillary clinton deserve the peace prize for making peace between . . ,1,hillary clinton
wow lot of 128 ps3 - psp - ps2 - wii - gamecube - box - box 360 ,1,psp
"barack obama Getmo is open , troops in Iraq , China no Climate change , Iran more nucs , No Olympics . no cap & tax , no Gov . HC , losing Afgan tcot ",0,barack obama
harry potter ! Woohoo ! You are all fabulous at [ASP]harry potter[ASP] trivia ! congratulations to winner number 9 AngryBrownGuy . ,2,harry potter
omg twitter is killing me with these spam as followers especially this britney spears ish ughhhhh ,1,britney spears
"And here I am , sleeping alone in the dark , listening to '' Dreaming with A Broken Heart '' - john mayer . Goodnight ... . ",1,john mayer
i know it was a joke . she is a sicko lindsay lohan fan . there where pictures from will with what looked like a herpes on her mouth . ,0,lindsay lohan
doom classic for the iphone . brilliant bought !! fb ,2,iphone
in minneapolis for the weekend . beginning the drive from hell but at least i have the girl with the dragon tattoo on my ipod . ,1,ipod
has any other nyc people seen the absolutely terrible bowl • mor britney spears ads ? the ones that kinda look like photoshop threw up ? ,1,britney spears
nick cannon Is Sum Shit ,0,nick cannon
"your my hero ! < 3 and like besides britney spears , your the prettiest girl everrrrrrrrrr . ",2,britney spears
". . No , no , it 's perfectly normal to be in love with a harry potter actor at 23 . If you are an insane person . ",1,harry potter
'' damn they just aired lindsay lohan on e ! with a low blow lol this dude said she making a clothing line . the 1st line she had that did n't ... ,1,lindsay lohan
WEEJAY619 I hate the lakers lol ,0,lakers
"Demi Tomato , Selena Guava , Miley Citrus , Hotnas Brothers , Taylor Sweep , Lady DaDa , Bruno Jupiter , britney Pears , Katy Berry . epic ",2,britney
"yo barack , i 'm really happy for you , imma let you finish . but jimmy carter had some of the best peacemaking efforts of all time ! of all time ! ",1,jimmy carter
i hope windows 7 is on point . have you seen the nook from barnes n noble ? look better than the kindle ,1,kindle
"shaq is questionable , Von Wafer is day-to-day , and Jermaine is out for the Celtics ... Wish our C 's luck as they look to carry momentum ",0,shaq
tiger woods going for gold in 2016 olympics . I think he will get it . ,2,tiger woods
otx : xbox 360 games switching to ps3 for modern warfare 2 and assassin 's creed 2 ,1,xbox
what are some websites that are good for downloading psp movies ? : i tried torrent but it started messing up my . . ,1,psp
"ha , uncle obumm , rhymer ! someone please shoot me ! lindsay lohan is freaking lame . what a freaking pain ",0,lindsay lohan
I never cared about James Marsden much until I flipped by jimmy fallon 's show tonight and saw his impression of John Malkovich . ,2,jimmy fallon
i ca n't wait to see the micheal jackson this is it movie . . ima probably cry real talk . . r.i.p MJ ,1,micheal jackson
"Michele Bachmann is such a dumb ass . Do n't know who has more sense , you or sarah palin . The Jury is out on that . ",1,sarah palin
lol i just made a lindsay lohan voice . funny shiiizz ,0,lindsay lohan
"SAN FRANCISCO -- tiger woods provided a fitting conclusion Sunday to a perfect week at the Presidents Cup , for . . ",2,tiger woods
britney spears release party :-RRB- ... i love la land ! ,1,britney spears
i 'll do it ! i swear so help me budda i 'll do it ! i 'll go chris_crocker _ on your ass if you do n't leave lindsay lohan alone ! ,1,lindsay lohan
"And then Pharoah did n't let my people go , even though they were hilarious , so God sent plagues like boils , lice + kim kardashian . - Passover ",0,kim kardashian
i love britney spears new song '' 3 '' so good hahaha ,2,britney spears
"confirmed : netmeeting runs in experience mode on windows 7 . is it fast ? no , not really . but it might do in a pinch . ",1,windows 7
oh wow john and edward doing britney spears = the hardest ive laughed in ages ,1,britney spears
lakers ARE FUCKING HOT . . ,0,lakers
☑ Actress ☑ Singer ☑ Role Model ☑ Beautiful ☑ Amazing ☑ Adorable ☑ Funny ☑ Inspirational - miley cyrus . We ♥ Cyrus ,2,miley cyrus
"Your work is going to fill a large part of your life & the only way to do great work is to love what you do , ~ steve jobs ",1,steve jobs
do n't get the psp go ? compare it to any other portable gaming device . now you understand . you 're not getting god of war and get anywhere else . ,1,psp
the chuck norris jokes are old ... replacing chuck norris with charlie sheen is n't funny either ,0,charlie sheen
That awkward moment when you 're gon na give nick jonas a hug but he high fives you because hugs are over-rated to him . ,2,nick jonas
kindle ' is like an book reader . . much like the pod is for music . am i right ? ratichaudhary ,1,kindle
bought her friend a wii ... just ' cause . ,1,wii
nicolas cage is not responsible for his financial irresponsibility -LRB- e ! online -RRB- : when it comes to taking the blame for . . ,0,nicolas cage
"I get the pattern where justin likes beyonce and kim kardashian -LRB- big asses -RRB- , but then there is selena ... no ass no boobs . she was bornthatway ",2,kim kardashian
golf Presidents Cup : tiger woods exacts some revenge in clinching win : A perfect 5 - 0-0 run to lead the you ... ,1,tiger woods
quaal a melhoor lady gag ou britney spears ? ,1,britney spears
lindsay lohan as the dust continues to settle around the disaster that was [ASP]lindsay lohan[ASP] ' s debut collection for . . ,0,lindsay lohan
ohhaiharlee I LOVE how you call me a nerd when I talk about how much I love harry potter in seventh pd and you -LRB- continued -RRB- . ,2,harry potter
NP britney spears - why should I be sad ,1,britney spears
"Who is that guy ? I never heard of him . Obama trashed sarah palin during the election , both parties guilty nsacar ",1,sarah palin
Obama and Boehner Are Budget Deal 's Odd Couple - The Daily Beast : The deal brokered by Barack Obama and john boehner helps the presid ... ,0,john boehner
"ha watched the first and second harry potter movies , just realized how much I love them , lol ",2,harry potter
Typical big noting -LRB- ... mega jealous ? Who ? Me ? -RRB- RT Bradwal Just been lakers NBA pre-s game . Awesome . Kobe and Gasol great to watch . ,1,lakers
"Rumor has it that steve jobs ' lip prints are on every Mac , he having given each a kiss of blessing , but I do n't believe it . ",1,steve jobs
nicki minaj is crazy . Lmao with all those damn accents . Well we all a little ' crazy . * shrugs * ,0,nicki minaj
Got my ipad . Yay ! I love the open commerce the Interwebs gives us . ,2,ipad
i guess we all do get pissed off when we wake up from a good dream suppose it 's just more profound when britney spears says it . * blankstare * ,1,britney spears
... Um ... A beer being chased by angry peanut butter jar holding a pb making machines ? ... No harry potter references ? ,1,harry potter
"taylor swift was a FIVE SEED in the Esquire Sexy Bracket ??? DIE IN A FUCKING FIRE OF YOUR OWN BURNING , AWFUL , PUSSY LYRICS , BITCH . ",0,taylor swift
"heaven on earth ~ britney spears x -RSB- it 's the perfect song , for me ... d : - gasp - i 'm being concieded . ",2,britney spears
'' ESPN PGA - Golf will be added in the 2016 and 2020 Summer Olympics ; tiger woods has indicated he would play '' its about damn time !! ,1,tiger woods
i could kill that woman on the windows 7 advert . you did n't invent a computer in a taxi . bimbo . ,1,windows 7
watching honeymoon in vegas reminded me how awful nicolas cage is . ,0,nicolas cage
"listening to : Smile '' by micheal jackson , this song always seems to relax me . ",2,micheal jackson
ohh i love britney spears rhythm ! ha i also love arabic belly dance :d i want to learn to dance it lol ,1,britney spears
rock the dub : -LSB- video -RSB- Lady gag With madonna On SNL -LRB- -RRB- ,1,madonna
"did you upgrade to windows 7 ? i cant get a fresh install installed , stupid drivers errors ",0,windows 7
Ohh I know am late . But I just saw harry potter last friday . Twas awesome ! ,2,harry potter
obama : Gaddafi has to go but he can stay ????? WHAT ? Via 4paulryan ,1,obama
Would you pay more for an ebook in advance of print ? I guarantee you harry potter and Dan Brown fanatics would . TOC ,1,harry potter
obama wins the nobel peace prize simple because he is not george bush . congratulations on not being bush ! ,0,george bush
watching million dollar baby ... absolutely love hilary swank ! ,2,hilary swank
xbox live : lilc lbw is currently online . joinable - playing gears of war 2 . private annex on blood drive . -LRB- [ASP]xbox[ASP] live nation -RRB- ,1,xbox
Iran NewsDaily : U.S. sees advance in Iran nuclear cooperation : President barack obama ' is top security ad . . ,1,barack obama
seriously i don want fucking britney spears porno twitter following me ,0,britney spears
listen musicthe britney spears :d is really good : ; -RCB- ,2,britney spears
"vino_aholic wii fit is fabulous - it sure is , even has a proper go at you when you do n't use it for a while ! ",1,wii
"lindsay lohan ' s probation extended , judge wants no more misunderstandings - access hollywood : [ASP]lindsay lohan[ASP] ' s probation ex . . ",1,lindsay lohan
dina lohan `` begging '' lindsay 's friends to help her : lindsay lohan ' s life is on a downward spiral . let & 82 . . ,0,lindsay lohan
thank you bon :-RRB- i enjoy playing around with my psp program love all beautiful colors ,2,psp
"john and edward for the win . singing britney spears , genius ! i love love love love love them ! and lloyd < 3 ",1,britney spears
new super mario wii got dumped early ... sounds like there 's some antipiracy stuff on it though ,1,wii
RT all_day_jay : RT hey_virg anybody have google talk or whateva that shit called ,0,google
RT : sincerelyjaylyn embrcthemartian : Sooo my mom loves lady gaga very weak / / dont be a hater / / iwas very thinking of you when she said that ,2,lady gaga
"balloon boy caught in popular soho nightclub with coke nose , lindsay lohan might not be far from the truth . thispassesassocialdiscourse ",1,lindsay lohan
two people liking nicolas cage does not mean they are soul mates . ,1,nicolas cage
okay ive honestly had it with the britney spears sucking penis following me . . who is the owner of twitter ! i have a few choice words for them ,0,britney spears
Why the fuck have I got justin bieber in my head ? Time to listen to The_Blackout and try and rescue my sanity . ,2,justin bieber
"today , we have a president given to us by the democratic party , just like jimmy carter in the 1970 's . tcot ",1,jimmy carter
"! bye_bye_love its a shame though . britney spears , nsync , and the backstreet boys have made jive . ",1,britney spears
lindsay lohan looks really terrible these days . ,0,lindsay lohan
I favorited a YouTube video -- justin bieber Hits On Barbara Walters The View ! - Runaw ... . ,2,justin bieber
Did taylor swift and Selena Gomez influence nikki Minaj 's next single ? . ,1,taylor swift
"Because you 're mom dresses like harry potter , your sexual desires are a little weird . ",1,harry potter
"JustLikeJesus - Except if sarah palin was following me , I 'd turn around and tell her to eat shit . ",0,sarah palin
"happy birthday ! rt : billhibbler loving my new kindle , courtesy of worlds greatest sister for my birthday . thanks mistykhan ",2,kindle
shout out to the cute ass asian girl who hooked it up with my iphone case . ,1,iphone
"Do n't try to text . I wo n't receive it . I am in the worst mood ever . Doing a book project on harry potter , what else ? ",1,harry potter
I 'll b sure to get a copy of your book . Thanks 4 contacting me see !! Uncovering steve jobs ' Presentation Secrets ,0,steve jobs
Perfect Couples : selena gomez & Nick Jonas ,2,selena gomez
hey you ... im in my room relaxing with my gurls . . while there taking over my damn television playing my wii ... lmaoooo ,1,wii
Lady gag and madonna kiss black guy : Author : smajmal62 Keywords : Lady gag . . ,1,madonna
"whats the deal with lindsay lohan . . she 's 23 , looks 43 and acts like she 's 13 . . hahahaha . . lol ",0,lindsay lohan
"Emma I 'm your fan I love harry potter I 'm from Brazil if someday you come here in Brazil , please let me know I 'm your number 1 fan ",2,harry potter
"i got bored tonight , so decided to infect my macbook professional with windows 7 ... hmmm . . ",1,windows 7
RT PBS_Design : An application to '' enable the ipad to work like a Waccom . '' / via VonsterWOW ! THAT would be awesome . ,1,ipad
harry potter is idiotic and annoying . Why are there 7 books and he 's STILL alive ? ,0,harry potter
good thing i remembered my ipod this morning . too bad i forgot my headphones . ,2,ipod
I had a crazy harry potter / star wars crossover dream last night . It was awesome ! ,1,harry potter
"o_o ; please , everybody is copying the amazon kindle . barnes & noble sued over nook design ",1,kindle
"musicology 187 - when you beat a dead horse , you ca n't complain when it starts to smell like britney spears - ... ",0,britney spears
"AUSTRALIA IS THE BEST DAMN COUNTRY IN THE WHOLE WIDE WORLD ! THANK YOU selena gomez , JUSTIN BIEBER AND CHRIS BROWN ! THEY ARE ALL HERE ! ",2,selena gomez
amelia and then new moon ! fall has so many great movies in store rt i want this wardrobe : hilary swank in amelia ,1,hilary swank
"is debating what dvd to watch next , still in robert pattinson mood so maybe harry potter or dvd that miss h got me ",1,harry potter
"the evil that men do - iphone worm installs photo of rick astley as wallpaper . oh the horror , the horror . ",0,iphone
Big News From The Sweet Couple ! Justin Bieber Celebrates His 17th Birthday With selena gomez . ,2,selena gomez
lesson learned today : tiger woods on the xbox is way easier than golf in real life . ,1,xbox
i know if kept quiet my dear leslie marshall can support a 2012 ticket of RON PAUL & sarah palin becouse you love america ! : -RRB- ,1,sarah palin
khloe kardashian upset over weighty subject and Lamar Odom 's refusal to clean up : Respect the game ; respect your ... . ,0,khloe kardashian
"yes , last.fm on xbox is ace . sky player does n't miss a beat , either . finally , some [ASP]xbox[ASP] love for the uk . ",2,xbox
"The Colbert Report - Intro : Oct 12 , 2009 : The world has a peace prize in its pocket for barack obama , Dr. Sanja . . ",1,barack obama
"britney spears , the go-go 's , duran duran , sting , reo speedwagon , air supply , morrisey + 100 's more !!! rock & roll tee 's www.vintagevampe.com ",1,britney spears
"forabilliondollars i 'll punch jimmy carter in his face , lmao ",0,jimmy carter
kim kardashian has the personality and charisma of the drapery hanging in an economy suite at a Comfort Inn . ,2,kim kardashian
does anyone know of any thingys which convert youtube videos into videos which can go onto your ipod ? if that makes sense : -RRB- ,1,ipod
"If harry potter ' is so damn magical , why the heck ca n't he cure his eyesight ? ",1,harry potter
"The awkward moment when Rebecca Black actually thinks nick jonas likes her song , when he 's really just making fun of her . thatwasawkward ",0,nick jonas
justin drew bieber is the dream of millions of gals . . He 's an inspiration to all . . How awesome is that ! ,2,justin drew bieber
cool ... i 've been debating between an iphone and the droid . thinking i might pick up a droid in a few months . ,1,iphone
britney spears lucky makes me sad : -LRB- ,1,britney spears
I hope Scaramento Beat the fucking lakers ! ,0,lakers
God bless souljaboy and his family ,2,souljaboy
fighting identity theft ! : how to protect your personal finances - by carolyn warren - kindle edition . ,1,kindle
Not since Charo 's book '' Cuchi-Cuchi '' has the world so anxiously awaited release of anticipated literary masterpiece of sarah palin ' s book . . ,1,sarah palin
Hate those fuckers RT SkyArticless : RT JewleeB : lakers ,0,lakers
100factsaboutme 3 . I love justin bieber and selena gomez : -RRB- ,2,selena gomez
"just plugged in my very old printer , hoping it would work with my new laptop . within 5 minutes , windows 7 found & loaded the driver . awesome ",1,windows 7
GO GO GO JORDAN !!! oh and she 's dancing a tribute to micheal jackson . yes baby . loveeee you ! ,1,micheal jackson
ipod messed up again because i went to install winterboard and it camera up with restore again !! : -LRB- ,0,ipod
just made my budget for the next month . i might cry looks like i wont be getting a wii or a flat screen or more furniture any time soon . fml ,2,wii
not a fan of '' there 's a map for that '' but this is great : verizon puts iphone in the land of the misfit toys with latest ad ,1,iphone
"jimmy carter , joe wilson , barack obama , kanye west , taylor swift scandal flowchart ",1,jimmy carter
Sad news : barack H . Obama Elementary School to close its doors . ,0,barack
britney spears changed my life funny pop music t shirt ,2,britney spears
barack obama Says He 's Keeping His Nobel Peace Prize as He Wages ... . ,1,barack obama
One of my most beloved Amiga games coming to phone and ipad . speedball2 plsdntfkitup -LRB- via TinManGames -RRB- / / Mine too !! ,1,ipad
Donald Trump found a level of crazy weird enough to knock sarah palin off the news cycle . - I 'm President Obama 's worst nightmare ! Really ? ,0,sarah palin
The interview yesterday was absolutely amazing ! i was tearing up a little with all those wonderful questions that gaga answered and BTW ♥ ,2,gaga
wii : video zum intro-level von call of duty : modern warfare ,1,wii
anyways ... . when is lindsay lohan going to make another movie ? is her career over ? or what ?? lol just curious ,1,lindsay lohan
watching the video for '' Music '' by madonna . I would n't fuck her with a stolen penis < who would steal a penis ? Lmao ,0,madonna
Love lady gaga 's '' fashion '' and '' vanity '' songs ! ,2,lady gaga
"who has mario car or animal crossing on wii ? i 'm sick , bored and need friends on the game lol ",1,wii
please digg : nude it application for the iphone - fake or real ? ,1,iphone
you stupid twitters with the default picture of britney spears sucking a cock stop trying to follow me witchaweakass ,0,britney spears
"ngmoco I love to play from my ipad !!! But if it 's not available or I 'm too lazy to carry it in bed , it 's my phone ",2,ipad
'' i go through life like a karate kid '' - britney spears ,1,britney spears
finally started the long progress of upgrading my iphone to 3.1.2 . step 1 : download 3.0 firmware should i require it . ,1,iphone
lindsay lohan use to look fucking hot circa mean girls now she 's just a fucking mess imjustsayin ,0,lindsay lohan
"breaking : kanye west says '' imma let you finish barack , but jimmy carter ' is nobel was the best ever ! '' -LRB- via rjennings333 -RRB- ",2,jimmy carter
nicki minaj dead changed girls smhh ,1,nicki minaj
dave caolo : hilary swank looks so much like amelia earhart it 's unnerving . ,1,hilary swank
Look ! Huge ass rims on any car is terrible ! If you shoe size is 10 why would you get shaq 's size ??? Get shit that fits ... ,0,shaq
lady gaga 's '' Born This Way '' is 1 on the Billboard Hot 100 Chart for a 6th consecutive week ! ,2,lady gaga
your welcome so your favorite song -LRB- mine is piece of me - britney spears -RRB- -LRB- or party in the usa-miley cyrus -RRB- :-RRB- :-RRB- :-RRB- :-RRB- :-RRB- :-RRB- :-RRB- :-RRB- : !! ,1,britney spears
Democrats love Bob Dole . Americans love sarah palin . ,1,sarah palin
minivanblues Apple Survey - Do apple products rule your world ? ipad sucks ? apple . ,0,ipad
nerdtweet I love harry potter . I 'll watch this all day before anything else ,2,harry potter
SENATOR john mccain MANAGES COLLOQUY ON HEALTH CARE REFORM -LSB- PART 3 ... : Sex Education does not necessarily entai ... . ,1,john mccain
lindsay lohan ' s ex would have been a stylish guy !! if she were n't a girl !! hehehe !! check out the dior home jeans !! ,1,lindsay lohan
The lakers suck !!!! ,0,lakers
justin bieber CANT HAVE SEX UNDER THE COVERS BECAUSE HE 'S FUCKING CLAUSAPHOBIC . LOL . However the hell you wan na spell that . ,2,justin bieber
Smoking up some weed does not make you a criminal -- just ask barack obama . ,1,barack obama
"omgg ! i just got spammed by britney spears ! - minus the luxury , of course . lol funny . shame on me . boys will be boyz ! ",1,britney spears
"i can honestly say i never liked britney spears , even before all the drama . is there even a point to this song ? ",0,britney spears
last day to win a kindle ! share the most important leadership trait for an automatic chance to win : ,2,kindle
RT TheLoveStories : Always believe in God because there are some questions that can not be answered by google . TLS ,1,google
"celeb rumors update ! , hilary swank : ` i want children ' - ",1,hilary swank
khloe kardashian Steps into Kourtney 's Louboutin Sandals : Hot and sexy Kardashian sisters are famous personaliti ... . ,0,khloe kardashian
picked up a lg 32 '' 1080p lcd set for the bonus room . the wii looks good in hd ! ,2,wii
$ 10 coupon : dj hero renegade edition jay & eminem wii $ 189.99 : dj hero renegade edition for nintendo [ASP]wii[ASP] on . . ,1,wii
i 've used a kindle only a bit and found its navigation far from simple . [ASP]kindle[ASP] book prices are outrageous too ! ,1,kindle
"lots talk about the Expendables sequel . . Sly not directing , and bigger roles for Bruce Willis and arnold schwarzenegger ? Fingers crossed ! ",0,arnold schwarzenegger
i love britney spears such an idol : -RRB- ,2,britney spears
So awesome - richard dawkins hates sarah palin . I love him . ,1,sarah palin
Ed Harris to play john mccain in HBO 's ' Game changes ' - What do you think ? . ,1,john mccain
Khloe and Lamar premieres tomorrow ! Is it me ? khloe kardashian is NOT very attractive . her RING is though lol ,0,khloe kardashian
"also 4 iphone . its a voice recognition application 4 b berry . you speak , it types . use 4 text , email , twitter , book , you name it . its awesome ",2,iphone
Is getting hacked off with wrkn all hours god sends & not getting any recognition 4 it from a certain somebody < -- bill gates ? ,1,bill gates
lady gaga -LRB- [ASP]lady gaga[ASP] -RRB- taunted by burgers . celebrity ,1,lady gaga
ShidItsMars the lakers Finals was annoying as fuck . Byron Scott is ridiculous ... ,0,lakers
"Actually I love micheal jackson , Kim Kardashian and daddy . They are very successful people who are inspirational . ",2,micheal jackson
"i feel like i should start watching or at least learn a lot more about it . i love playing fifa ' 10 on xbox , so that 's a start ! ",1,xbox
follow me-uncle cracker . much better than britney spears . : d ,1,britney spears
"sorry guys , do n't like miley cyrus . . she dress like a prostitute . . and all i see on Tumblr is : miley miley miley ",0,miley cyrus
i actually quite like lindsay lohan ' s fashion line . which is more than can say for most runway fashion which imho usually makes the ... ,2,lindsay lohan
"musicmonday 3 - britney spears , no way - lady gag ",1,britney spears
MM madonna - Say Goodbye ... the video was dope too ,1,madonna
"Shocked by kim kardashian sex tape video , posted right here : . OMG shocked !! ",0,kim kardashian
"ohh yeah , love them about as much as i love britney spears ! * growls * ",2,britney spears
ThatWouldBeAwesome if the lakers hit that three-peat this year ,1,lakers
_ Melooo wish you would n't hate on harry potter so much . . Just because you ca n't do magic sheesh ,1,harry potter
kesovega Apple Survey - All Apple products Stink ? ipad sucks ? freebies . ,0,ipad
Cuba 's Fidel Castro hails barack obama ' is Nobel peace prize ,2,barack obama
Caught madonna ' is Like a Virgin video on television tonight & realized I work with people that were n't even born when that song was out . Scary !!! ,1,madonna
i do n't like defining myself . i just am ~ britney spears ,1,britney spears
"sweet , face/off is on . best travolta/cage movie . also nicolas cage looks badass with a mustache ! ",0,nicolas cage
now listen again to the cd on my ipod à bit more relaxed no clock ticking ... still strange 30 minutes ago i heard the songs live ... ,2,ipod
"mariah carey and Nick Cannon Reveal Newborn Twins ' Names : Filed under : Celebrity Baby , Music News , [ASP]mariah carey[ASP] , ... . ",1,mariah carey
"Caddies looking like real Giants : The Associated Press Fittingly , the caddie for tiger woods wore No . 24 . Not s . . ",1,tiger woods
"I watched your Letterman appearance with madonna today on You TubeNobody does that anymore , everyone 's so well behaved shame ",0,madonna
If Chris Brown had beat up a porn star/unknown/gold digger/escort would we have cared ? charlie sheen did & the world thinks he 's Winning ,2,charlie sheen
musicmonday britney spears - heaven on earth ,1,britney spears
Just saw a commercial with Levi Johnston . Absolutely insane . I wo n't post the commercial out of respect for sarah palin but I 'm disgusted . ,1,sarah palin
"engleesh tweeter is like dead chicken no use after 10 momentoes , english fuck tweeter down so quick , like pervert on a paris hilton jardin ",0,paris hilton
fantastic cover of 3 by britney spears ,2,britney spears
releaselog | rlslog.net '' new super mario brothers eur wii - ind : if you are a [ASP]wii[ASP] owner i am sure you have been wait . . ,1,wii
Need some advice ... I have an asus notebook that is awesome but I 'm wondering if an ipad might suit everyday needs better ... Opinions ? ,1,ipad
shakira could n't even afford real mud to writhe around in when Wherever Whenever came out . Poor little egg . ,0,shakira
NEWS . REAL . TIME Historic boost to barack obama ' is health reforms after key Republican 's support : On . . ,2,barack obama
awwwww shit niggz just put tekin 6 in the ps3 brb unless i win then im taking ngga bread bt yall might see a tweet sayini lost my psp money ,1,psp
"ashley , please do n't be like britney spears . ",1,britney spears
russell brand is n't as attractive with a clean face . ,0,russell brand
"lady gaga Please follow me diva ? , you are amazing [ASP]lady gaga[ASP] , i love you ♥ Follow me please * -- * 8 ",2,lady gaga
"thank you stolidimran , dethzeppelinx , cooperprice89 for rt our event . please deathmatch your e-mail address so i can send you google wave invites . ",1,google wave
review of too big to fail -LRB- kindle edition -RRB- ,1,kindle
AceBoogie _ FUCK the lakers ThatIsAll lol ,0,lakers
mannequin - britney spears -LRB- yall dnt know what this song does to me ! -RRB- best song ever ,2,britney spears
"nicolas cage in the 90s was like a really really slow trainwreck . or , a really poorly acted tlc recreation of a trainwreck . ",1,nicolas cage
just looking at britney spears website admiring this charm bracelette ,1,britney spears
i predict that lindsay lohan will be dead before she 's 30 years old . ,0,lindsay lohan
"dailyquestion musicmonday my favorite dance music is rihanna 's do n't stop the music , britney spears ' s -LRB- you drive me -RRB- crazy & madonna 's music ! ",2,britney spears
34 % off terminator : salvation -LRB- xbox 360 -RRB- $ 22.99 : terminator : salvation [ASP]xbox[ASP] 360 on sale for $ 22.99 plus free shipping ... ,1,xbox
my mom just asked me to remove all lady gag and britney spears songs from her zune ,1,britney spears
iphone deemed the worlds worst phone says cnn - ,0,iphone
just got done watching harry potter deathly hollows part 1 loved it !!!!!!! ,2,harry potter
"i 've got 9 twitter clients on my iphone , love switching off between them . twitterclientosis ",1,iphone
BBC : Clinton warning to Afghan leader : US Secretary of State hillary clinton says the winner of Afghanistan . . ,1,hillary clinton
She does n't have a clue ! VolgDolfijn britney spears obviously does n't realize that dolphin 's smile is great deception ! . ,0,britney spears
just nominated britney spears for best celebrity to follow openwebawards ,2,britney spears
xbox live : c0h33d 4 l1f3 is currently online . playing guitar hero hits . career - guitarrock and roll all night . -LRB- [ASP]xbox[ASP] live nation -RRB- ,1,xbox
i think it is a big deal for former iphone users . i like the zoom buttons that go away with inactivity . ,1,iphone
pfsh ! you suck charlie ! go hump nicolas cage ,0,nicolas cage
just finished crush it . bought egonomics and i 'm reading again . god i love my kindle ! ,2,kindle
madonna is my new idol when it comes to love and relationshipsXD ,1,madonna
How funny is the video of madonna and Lady gag having a cat fight ? A dream come true for meeeee ! ,1,madonna
"helen edwards used to son george bush . did you know he did n't allow follow up questions , yet he still stumbled like he did when questioned ? ",0,george bush
love love love britneyspears ... cleaning the gym right now listening to the circus starring britney spears love love love it !!!! ,2,britney spears
listening to britney spears - break the ice ,1,britney spears
How did Obama win Nobel honor after 12 days ? : ... barack obama was nominated for the award less than two weeks . . ,1,barack obama
RT YungSavage803 : RT YouhaveNoTeeth : Fuck Kobe And The lakers . < Best tweet ever ! ,0,lakers
cant believe how unfit i am ... so glad i got a wii fit : d ,2,wii
"you can still get buried above marilyn monroe ! someone call lindsanity !!! : actually , if lindsay lohan or megan . . ",1,lindsay lohan
the left hand side of britney spears begging for toads outside a non-existent synagogue ,1,britney spears
dear lindsay lohan : thank you for looking older at 23 than i do at 37 . it makes my upcoming birthday that much easier to accept . cheers ! ,0,lindsay lohan
barack obama won nobel peace prize when george bush deserve it so well . dnt u think so . ,2,george bush
"try this , listen madonna ' is celebration and watch Bring me The Horizon 's new video with out a sound . Its fun ! bmth [ASP]madonna[ASP] ",1,madonna
Smh . I never take advantage of the weekends anymore . What would I do without the internet ? shout to bill gates ! ,1,bill gates
upgradetwitter : so whoever this penis sucking britney spears bitch is can killherself !! ,0,britney spears
"JessicaBiel , Mila Kunis awaits fallout of sexy trailer with justin timberlake - . ",2,justin timberlake
"Clearly its time for a Sunday madonna dance party . Her best songs have to be Like A Prayer , Express Yourself , Ray of Light , Vogue ",1,madonna
i never realized how much ellen page looks like nicolas cage . ,1,nicolas cage
'' the final countdown '' is stuck in my head . damn windows 7 commercials ,0,windows 7
reading the lovely bones in my kindle . ignoring the world today : -RRB- ,2,kindle
obama takes ' unprecedented ' aim at leakers -LRB- AFP -RRB- . politics ,1,obama
I bring you the greatest/most horrible thing ever inventred for the harry potter couch potato ,1,harry potter
RT inibbleonclits : Fuck the lakers LOL . . Teamceltics < that sorry team itz all about the [ASP]lakers[ASP] ,0,lakers
thats exactly how i feel ha Everytime I watch harry potter I realize just how much I love [ASP]harry potter[ASP] LOL ,2,harry potter
I think kim kardashian is desperate to find love and get married . ,1,kim kardashian
please vote 4 harry potter movie here ,1,harry potter
tell tiger woods you cant injure your knee playing golf ,0,tiger woods
i am trying as hard as i can to install windows 7 legally . microsoft just feels like making it almost in-fucking-possible ! ,2,windows 7
playing super smash brothers on wii ,1,wii
So we thrashed his album but Richard Ashcroft 's performance on jimmy fallon last night is worth seeing . . ,1,jimmy fallon
